Molenaar Verzekeringen Hypotheken Pensioenen;Lipperkerkstraat;59/61;POLYGON((258790.2199 471405.454,258788.159027434 471404.375252744,258784.367893176 471402.391552531,258782.18301 471415.06295,258782.167449925 471415.059830214,258781.375943804 471419.898950076,258781.375940087 471419.898949457,258781.37594 471419.89895,258781.22989 471420.78815,258787.43 471421.83595,258790.2199 471405.454));POLYGON((258784.901422936 471418.870558452,258794.384976844 471419.217919295,258796.152792465 471412.322569777,258777.680655325 471402.760718276,258775.974608782 471412.095837703,258784.898436755 471414.634676396,258784.901422936 471418.870558452));POINT(258786.421 471408.688)
Schadeck Ulrich;Brinkstraat;310/2;POLYGON((258886.417505727 470215.520802149,258878.11808 470217.839,258888.398323551 470226.443467563,258891.689921929 470225.379973382,258916.361103813 470217.067126618,258916.361103348 470217.067125221,258916.3611 470217.067125,258913.294050307 470207.866050922,258909.468001796 470209.129000531,258906.702943557 470210.041926244,258904.11405628 470210.897001686,258903.933967046 470210.956150085,258886.709956441 470216.439876442,258886.419932576 470215.520125607,258886.417505727 470215.520802149));POLYGON((258888.271659928 470216.60018894,258891.786691444 470227.345729149,258906.158890649 470222.629693331,258906.552076945 470223.79579024,258908.256105458 470224.542159154,258901.976388279 470239.033719501,258913.071593396 470243.854870664,258921.192382278 470225.040089027,258914.527437227 470222.168040053,258915.431840306 470220.04283141,258917.274620589 470219.444347266,258913.596861526 470208.260395486,258888.271659928 470216.60018894));POINT(258901.553 470217.072)
GSM Huys;Kerkstraat;21;POLYGON((263412.53611 471003.962,263411.74698 471002.714,263410.914927355 471002.48422491,263409.889959066 471002.209927533,263405.022297759 471002.53046467,263393.77593 471003.28015,263393.637381312 471003.290951027,263393.192529345 471005.127509127,263394.17107 471005.461875,263394.38911 471004.55805,263396.48993 471005.06115,263396.68106 471004.263925,263400.39694 471005.15085,263400.356 471005.322125,263410.719836142 471008.196791611,263411.479949582 471007.900024223,263412.456842825 471004.266047173,263412.53611 471003.962));POLYGON((263399.77257603 471003.981976979,263410.954646572 471009.095386121,263412.655660443 471002.835521227,263399.77257603 471003.981976979));POINT(263407.942 471005.071)
Slagman Het;Park de Kotten;325;POLYGON((256784.417038391 473082.247947873,256781.665088845 473058.269121612,256780.746006983 473050.266973177,256780.466097359 473047.825897168,256763.945886602 473049.722922587,256760.296023425 473050.141851257,256758.37091705 473050.362851402,256736.904101872 473052.82699903,256737.686099932 473059.647127197,256736.36107067 473059.798896558,256736.235032894 473058.703978221,256716.286898853 473060.993921987,256719.931020008 473092.917046411,256761.032021599 473088.199023833,256760.66195188 473084.975025943,256784.417038391 473082.247947873));POLYGON((256716.498945956 473059.639863506,256719.261110948 473091.013561667,256759.00938031 473087.507684981,256758.746076734 473084.489973664,256781.510324697 473082.484301912,256778.78394793 473051.478588917,256737.135483717 473055.141230154,256737.374914781 473057.827846796,256716.498945956 473059.639863506));POINT(256754.39 473070.4)
Bai-Bai;Brookhuislanden;51;POLYGON((258560.234904288 468146.964268825,258569.42105 468153.369125,258572.16702 468149.4311,258562.979782919 468143.026163886,258560.235076085 468146.964022426,258560.234904288 468146.964268825));POLYGON((258562.462740262 468148.792549942,258570.990414893 468154.773945088,258573.761685365 468150.777539158,258565.223044908 468144.811451589,258562.462740262 468148.792549942));POINT(258566.032 468148.333)
Pizzeria La Strada;Haaksbergerstraat;346;POLYGON((257017.787896546 470372.027102051,257028.068 470361.653125,257034.634006841 470355.167066553,257030.184101666 470350.743935826,257030.180092805 470350.739952787,257023.654066906 470357.306897555,257025.85401782 470359.473025492,257019.100070237 470366.339949943,257021.286912458 470368.496003459,257019.928068183 470369.866849436,257018.030110979 470368.00004728,257015.900083714 470370.170077562,257017.787896546 470372.027102051));POLYGON((257027.345363131 470351.929511305,257020.034748623 470360.649308728,257035.018041554 470365.255851929,257037.750285184 470362.264190347,257027.345363131 470351.929511305));POINT(257029.346 470355.331)
Hagels BV Wasserij;Richtersweg;5;POLYGON((256816.531866486 471542.472207928,256808.81291 471544.59105,256795.559286109 471547.828490575,256796.656026387 471552.466121622,256800.244033415 471567.332924776,256789.859989226 471569.893922233,256797.332923946 471602.195024597,256801.026947332 471618.162926128,256831.857072736 471610.853021821,256828.324956842 471595.024872021,256820.639973479 471560.583978565,256817.716902128 471547.482898871,256816.531866486 471542.472207928));POLYGON((256799.137109673 471600.837203178,256826.844996369 471593.862376778,256816.836157111 471551.328775962,256797.524989738 471555.862093392,256800.964352956 471570.453806709,256792.462463924 471572.453272822,256799.137109673 471600.837203178));POINT(256810.33 471589.4)
Degen R J B M;Wethouder Nijhuisstraat;225/A;POLYGON((255933.115968739 470279.568850406,255934.486997887 470274.449125224,255918.751086778 470270.1581466,255916.077112454 470280.20909778,255930.234071109 470283.975848132,255930.107109512 470284.456847978,255935.901956289 470286.008077857,255939.587936067 470281.301101304,255933.115968739 470279.568850406));POLYGON((255916.555346182 470280.728413099,255935.735100036 470285.554227775,255936.944900036 470280.733236814,255932.740533219 470279.704203842,255934.171873674 470273.956571675,255919.189440576 470270.20251183,255916.555346182 470280.728413099));POINT(255926.017 470276.585)
Kim's Hairfashion;Poolmansweg;85;POLYGON((256144.30909832 470922.790001592,256148.999031979 470921.116899093,256145.75810269 470912.030878346,256144.028957741 470912.648046137,256140.089978591 470901.88990246,256137.229926128 470902.839876558,256134.370112584 470903.789850656,256137.958111648 470914.534997136,256136.524063612 470915.045901686,256139.853082364 470924.378924936,256144.30909832 470922.790001592));POLYGON((256140.677585747 470915.65861579,256143.149532639 470921.399025794,256147.411984224 470920.081624012,256145.586561737 470914.14580034,256140.677585747 470915.65861579));POINT(256144.65 470919.13)
Baars Theo;Haarlebrink;8;POLYGON((257492.693061237 468515.546853276,257493.93898 468526.668025,257498.46009 468526.162,257497.214652466 468515.041199076,257492.693066312 468515.546852707,257492.693061237 468515.546853276));POLYGON((257492.963771339 468518.047819183,257493.902658705 468526.591694218,257498.367621748 468526.215222423,257497.531416453 468517.663122816,257492.963771339 468518.047819183));POINT(257495.55 468520.63)
Helene's Shop;Vlasstraat;43/B;POLYGON((256256.679050321 469916.082028258,256258.174233723 469931.272325872,256259.589933239 469945.655073334,256259.589933369 469945.655074652,256265.690427887 469945.02481,256265.68906735 469945.011903184,256264.962036605 469935.559922126,256268.458959718 469935.268074512,256266.47589954 469915.118077744,256264.821881161 469905.594004101,256264.4289 469904.09895,256256.136204511 469906.163189703,256257.168026504 469916.033926234,256256.679050321 469916.082028258));POLYGON((256259.003582579 469908.612261783,256261.191077478 469944.63738896,256265.145300963 469944.393484926,256264.709338961 469937.173807183,256267.347371632 469937.019412605,256265.596132734 469908.201708915,256259.003582579 469908.612261783));POINT(256263.17 469930.69)
Lulofs Inge;Wooldriksweg;41;MULTIPOLYGON(((257971.498097516 470581.285851324,257971.4981 470581.28585,257976.6179 470580.079125,257972.51907 470562.00295,257972.519069911 470562.002949625,257969.696050813 470562.662047502,257970.234940751 470564.938022466,257970.682977729 470565.537000551,257972.166943923 470571.810147388,257969.415910234 470572.454950152,257971.498097516 470581.285851324)),((257972.058783355 470560.062377647,257971.268100068 470556.728850288,257971.268098507 470556.728850652,257972.058783355 470560.062377647)));POLYGON((257968.197397113 470569.091623599,257970.356037731 470577.837292571,257977.238302203 470576.261004135,257975.240563856 470567.484208146,257968.197397113 470569.091623599));POINT(257973.05 470576.91)
Ree & Wösting BV;De Plooij;10;POLYGON((251702.766028861 469792.181136094,251702.76806 469792.203075,251707.88303 469791.733125,251732.4399 469789.411,251732.439900178 469789.410999983,251732.439899949 469789.410997563,251716.901097077 469790.87999946,251716.568059814 469787.353099966,251746.741993978 469784.508051621,251744.855990691 469764.504950264,251714.978993118 469767.322053042,251714.487942743 469762.114899405,251700.200112183 469763.453897469,251703.021061558 469792.15594678,251702.766028861 469792.181136094));POLYGON((251683.924516528 469742.152248669,251687.673749317 469777.905310091,251702.143097139 469776.374212217,251703.537480325 469789.585287154,251717.483389641 469788.123667906,251717.209026249 469785.502371369,251747.359582911 469782.341524581,251745.639610317 469765.993490451,251721.310802737 469768.557316074,251720.451668574 469760.337358441,251703.938686724 469762.098094461,251701.661955574 469740.280546453,251683.924516528 469742.152248669));POINT(251734.475 469774.852)
Winkelhorst Schildersbedrijf;Windmolenweg;217;POLYGON((251668.870892796 470214.611102238,251668.851110297 470214.403099292,251677.457939019 470213.561021048,251676.735049538 470206.175076763,251667.697887742 470207.060048945,251667.788047837 470207.975897435,251660.124909641 470208.727950971,251660.779946105 470215.405078108,251668.870892796 470214.611102238));POLYGON((251659.784393882 470207.056340278,251660.331519842 470215.214331985,251677.205747581 470214.061055184,251676.658529699 470205.909182511,251659.784393882 470207.056340278));POINT(251667.114 470210.757)
Rubi Style BV;Sparrendaal;24;POLYGON((256623.810109174 469112.189002038,256624.024013422 469117.611947383,256623.044899161 469117.635026965,256623.092053822 469119.62012592,256624.12589648 469119.595103129,256624.231012909 469122.184046153,256634.227036592 469121.780073817,256634.02510219 469116.783853869,256633.822013013 469111.794124555,256623.810109174 469112.189002038));POLYGON((256628.422221019 469110.609397975,256628.658793614 469120.044366818,256639.617349844 469119.766600209,256639.392576457 469110.356381025,256628.422221019 469110.609397975));POINT(256629.68 469115.609)
Tehako;Waalstraat;18;POLYGON((258304.180908187 473680.573927169,258302.438893463 473680.346101903,258296.011078381 473679.501100882,258294.531946315 473679.306103097,258288.990098911 473678.578100747,258288.263991986 473678.482875568,258286.940109535 473688.06095015,258293.381033311 473688.906922775,258294.727907741 473689.084049413,258301.882060703 473690.024928658,258302.808963182 473690.147127801,258304.180908187 473680.573927169));POLYGON((258295.951909271 473679.303911012,258294.332275754 473691.123636495,258310.673873218 473692.888494999,258311.952087385 473681.044773367,258295.951909271 473679.303911012));POINT(258303.33 473686.5)
